claimant_id,name,gender,age,marital_status,occupation,annual_income,credit_score,state,address,phone,bank_account_hash,policy_type,policy_tenure_years,prior_claims_count
CL000000,Debbie Rivas,Female,56,single,Sales Representative,44050.02,715,FL,"4235 Olson Plain Apt. 659, Morrowside, WY 78767",919.492.5502,GB57PKDZ64807279103368,full_coverage,5.3,0
CL000001,Lindsay Robinson,Male,75,single,Police Officer,66683.91,757,CA,"905 Smith Inlet, Lake Victormouth, MT 54291",(458)868-5127x652,GB36MJVW64911110961798,liability_only,4.3,0
CL000002,Jeremy Perkins,Male,19,single,Construction Worker,65169.44,690,NC,"3378 Wilson Walks Suite 157, Odonnellfurt, AL 49606",884.244.4630,GB92AAEZ58955296386396,full_coverage,0.0,1
CL000003,Rebecca Lane,Female,75,divorced,Accountant,15707.97,740,OH,"265 Samuel Courts Apt. 819, Cameronview, MP 72971",(453)211-0609,GB06TWRC96027523343836,full_coverage,1.2,0
CL000004,Mary Hill,Male,59,single,Software Engineer,51158.11,665,OH,"USS Little, FPO AP 14056",379-311-2442,GB77PLGM17061713665722,liability_only,3.4,0
CL000005,Steven Keller,Male,69,divorced,Freelancer,44179.09,684,NC,"55799 Eric Streets, Saraborough, PA 04374",+1-208-782-3513,GB58EHCX24473158477686,liability_only,3.3,0
CL000006,Danielle Gonzalez,Female,56,single,Warehouse Worker,21053.84,754,IL,"1994 Laura Stravenue Suite 676, Lisaville, PA 50707",(739)855-1720x84964,GB14ADFZ56253135525105,full_coverage,0.1,0
CL000007,Michelle Lewis,Female,45,single,Administrative Assistant,34801.72,662,TX,"107 James Rapid Apt. 869, Villaland, MI 16652",250-339-2175,GB03DSZA21287809280414,comprehensive,2.4,0
CL000008,Amanda Newman,Female,31,married,Mechanic,31940.15,642,FL,"4455 Miller Trail, Troyton, MO 39618",001-377-715-9103x002,GB55WXNH21358004010414,full_coverage,4.9,0
CL000009,Lonnie Burnett,Female,71,divorced,Software Engineer,29854.93,687,MI,"97125 Karen Vista, Walshville, NC 69653",697.674.5731,GB84WCLR33117030376371,full_coverage,12.2,2
CL000010,Robert Gill,Female,31,married,Manager,36849.78,763,NC,"7281 Jeffery Lakes Suite 798, Port Ricardo, CA 36917",(224)991-2711x30724,GB63VQOL41815632686850,liability_only,3.0,0
CL000011,Jacob Williams,Male,79,single,Nurse,35019.34,555,IL,"43629 Moreno Park Suite 103, East Dariuston, OK 35389",818.314.3966,GB89HXWI73235494012897,full_coverage,1.1,1
CL000012,Sarah Watts,Male,77,married,Electrician,27261.2,726,NY,"856 Krystal Spurs Apt. 850, South Jesseland, MA 79821",233-950-4888x9921,GB74GOTK02097002687681,comprehensive,1.2,0
CL000013,Michael Jackson,Female,42,single,Business Owner,77595.11,751,NC,"07650 Terri Club Apt. 095, Aguilarfort, VI 32942",610.709.4388x2211,GB94OPXL84745705458971,liability_only,4.6,1
CL000014,Joseph Bowman,Male,56,married,Sales Representative,80768.36,703,FL,"784 Danielle Inlet, Lake Stevenmouth, KY 86156",393-436-1330,GB32VSVE42806589175260,full_coverage,6.6,0
CL000015,Mr. Edward Chavez,Female,50,single,Accountant,53068.15,647,OH,"74065 Brendan Dam, Natashahaven, TN 73999",(514)223-6914,GB64PLHZ66614494296592,full_coverage,1.4,1
CL000016,Christina Taylor,Male,44,married,Manager,20868.3,750,NC,"1497 Nicholas Wells Suite 128, Bensonhaven, TX 93902",(375)467-6670x806,GB55TJZH98529894062607,comprehensive,12.5,1
CL000017,Shelly Stevens,Male,72,married,Business Owner,56970.29,797,PA,"19656 Moody Gateway, Deannabury, OH 79275",001-681-779-4695,GB83EPWO28813770285196,liability_only,2.6,0
CL000018,Anthony Gallegos,Female,59,widowed,Manager,29080.98,651,NC,"765 Chavez Springs, Whitechester, MH 26999",423.324.4079x3110,GB69QDHG17087601467238,comprehensive,7.9,0
CL000019,Lonnie Gonzales,Female,78,married,Student,91122.91,689,MI,"2022 George Streets, South Timothy, LA 87996",897-854-6617,GB71TWOY51811698173748,liability_only,1.0,0
CL000020,William Howard,Female,60,widowed,Student,130569.19,759,CA,"8681 Diana Knoll, Stephenberg, KY 86804",761-776-7929x8842,GB79STMC00231177533126,full_coverage,7.4,0
CL000021,Jennifer Brown,Female,79,married,Administrative Assistant,91665.32,713,NY,"17590 Manuel Square, Grayshire, OH 26680",547.374.3326,GB37SAUV13020569815287,liability_only,5.7,0
CL000022,Daniel Carey,Male,47,single,Retired,48832.83,734,TX,"821 Patterson Lane Apt. 912, Craigfort, IN 07248",+1-385-503-4465x124,GB75QTQJ69081974005643,comprehensive,0.5,0
CL000023,Phillip Taylor,Female,79,married,Business Owner,51015.42,650,FL,"037 Linda Port Apt. 516, New Timothyberg, KY 95309",6105783567,GB64ABAY38960870662668,liability_only,1.9,2
CL000024,Jeffrey Prince,Female,25,single,Business Owner,30128.38,850,NY,"Unit 5535 Box 6033, DPO AE 77652",3362890030,GB23EOFJ05593429671114,full_coverage,4.1,0
CL000025,Christine Thornton,Male,41,married,Student,53506.34,709,GA,"4584 Alison Grove, Heidihaven, CT 07578",(569)374-1328x348,GB08LXZE03771070449641,liability_only,2.6,1
CL000026,Scott Cruz,Female,66,married,Sales Representative,37994.24,613,MI,"7033 Lopez Meadows Apt. 408, Sharonmouth, MP 34911",001-993-805-9660x18648,GB55SXSY84267320441384,liability_only,4.2,1
